UPRN,latitude,longitude,property_name,property_no
10023122757,50.7273383,-3.5209814,THE PRINTWORKS,
100040232705,50.7315313,-3.5157008,,30
100040214803,50.719711,-3.5276303,,3
100040223830,50.7394285,-3.503824,87A,
100040202605,50.7320833,-3.5008396,,3
100040231529,50.7147405,-3.4969141,,171
100040201026,50.7390792,-3.4932117,,80
100040212665,50.7288411,-3.5499892,,3
100040206051,50.7264964,-3.4981956,,9
100040221898,50.727648,-3.5416184,,18
100040229200,50.7267127,-3.5127471,,46
100040231986,50.7397706,-3.5176818,,48
100040201822,50.7169586,-3.5582384,,56
100040204251,50.727327,-3.492342,,6
100040227256,50.7210923,-3.5299703,,14
100040227275,50.7297546,-3.5529809,,10
100040240129,50.7174838,-3.5586383,,10
100041131496,50.7212634,-3.5182595,RALEIGH HOUSE,89
10023116896,50.7205028,-3.5462212,,84
100041142887,50.727126,-3.536883,REDVERS COURT 9-10,
100040237925,50.7364083,-3.5016015,,6
10013046552,50.712973,-3.5380347,,37
100040241393,50.7069367,-3.5449611,,55
100040241513,50.7162017,-3.4944816,,25
10023122504,50.7052391,-3.5084879,,19
10023117227,50.7211325,-3.5207705,,51
10023121597,50.7212095,-3.5048185,,60
10023122796,50.7273383,-3.5209814,THE PRINTWORKS,
10023117358,50.7313832,-3.5409289,NORTHFIELD,
10023119150,50.7364171,-3.5428062,BIRKS HALL,
10023120011,50.7396412,-3.5042421,,17
10023119710,50.7329548,-3.5037549,,19
10023119764,50.7159692,-3.5431268,47 ISABEL COURT,
10023121730,50.7330087,-3.5245255,4 KILMORIE MEWS,
10091469644,50.7233432,-3.511852,,82
10023119733,50.7159692,-3.5431268,16 ISABEL COURT,
10091470917,50.7118687,-3.5372053,,61
10091470081,50.7328993,-3.4928844,2A WESTBROOK COURT,
100040209184,50.719103,-3.5444262,,11
100040234832,50.7190961,-3.5210086,36-40,
100040223149,50.7177285,-3.5443102,,3
100040208912,50.7387672,-3.543415,JEFFORD HOUSE,
100040225026,50.7320495,-3.5145839,,85
100040223373,50.737243,-3.5100889,,18
100040237190,50.7097483,-3.5102247,,183
100040233176,50.7250109,-3.5087745,,5
100040207613,50.7002943,-3.5337821,,70
100040202745,50.7389585,-3.4977147,,146
100040228724,50.7316304,-3.4947885,,299
100040214031,50.7323559,-3.5582109,,21
100040232778,50.7087813,-3.5161282,51 OLD ABBEY COURT,
100040212208,50.7033991,-3.4997675,,10
100040205102,50.7417096,-3.491467,,70
100040221719,50.7168617,-3.5520163,,39
100040203597,50.7297438,-3.5155298,,76
100040218518,50.7282637,-3.5276393,,43
100040205029,50.7014146,-3.5340736,,2
100040209499,50.7084729,-3.5498272,,33
100040200367,50.7298251,-3.4903951,7A,
100040228383,50.7265582,-3.5566299,,9
100040212474,50.7265655,-3.5486531,,176
100040204933,50.7117407,-3.5516205,,107
100040236853,50.7252053,-3.4915803,,46
100040229372,50.7257287,-3.5151451,,93
100040236098,50.7204544,-3.4924636,202A,
100040212682,50.7290084,-3.55093,,23
100040210634,50.7233516,-3.5373403,,5
100040203076,50.716629,-3.556655,,51
100040231312,50.7259918,-3.5379251,,30
100040234405,50.7247434,-3.5591768,,8
100040219766,50.7281576,-3.5240652,,11
100040221766,50.7279138,-3.5268911,,57
10023122973,50.7239129,-3.5332928,,30
10023120173,50.7246608,-3.5374853,3 THE YORK WING,
10091470933,50.7055302,-3.5331036,,47
10023122969,50.7241542,-3.5320312,20-22,
10023124362,50.7231909,-3.5055566,,
10023124524,50.7334059,-3.5207176,,39
100040217440,50.7394801,-3.5254674,RUSHFORD,
100040219634,50.7371393,-3.5447786,,34
100041131397,50.7158477,-3.510775,7 GENEVA COURT,
100040236413,50.7301056,-3.5042622,,16
100040215764,50.708015,-3.5051694,,14
100040240693,50.7323023,-3.4998972,,14
100040224391,50.7386,-3.5108695,,190
100040217186,50.7314469,-3.515273,,35
100040238028,50.7273817,-3.4915786,,98
100040231455,50.7165425,-3.4945491,83A,
100040238069,50.7315447,-3.4902513,,144
100040233900,50.7141025,-3.5518827,,10
100040213346,50.7207612,-3.541449,,23
100041044538,50.7162359,-3.5408897,41B,
10013038069,50.7153334,-3.5115942,,10
100040240704,50.7326777,-3.4986763,,25
100040201585,50.7193966,-3.497105,,21
100040217998,50.7134713,-3.5459125,,5
100041131751,50.7183818,-3.5329703,WEAVERS COURT,
100040241964,50.7248955,-3.5079632,,14
10013046573,50.7121771,-3.5087872,3 BRONTE HOUSE,
10013036088,50.7234122,-3.5252004,,3
10013044011,50.7031943,-3.4982031,,342
10013037226,50.7130317,-3.5122426,,10
10013040050,50.7176137,-3.5305086,,71
100040202702,50.7377717,-3.4997885,,102
100040218464,50.7320502,-3.5521357,,28
100041124117,50.7220624,-3.5176762,,29
100040216577,50.7115477,-3.5032146,,88
100040222593,50.7258391,-3.496857,,2
100040219374,50.7145795,-3.5498303,,23
100040220455,50.7395912,-3.4974656,,1
100040201002,50.7386393,-3.4931552,,56
